invoice_id,vendor_id,vendor_name,invoice_date,due_date,amount,item_count,payment_status,description,is_fraud,anomaly_reason
184af966,1316,Reeves-Lopez,2025-05-17,2025-06-28,4426.74,6,Paid,Notebook - quarterly maintenance,0,Normal
0a88077b,1592,Greer Inc,2025-07-11,2025-08-21,4458.96,3,Paid,Laptop - bulk order,0,Normal
0c829b62,1673,Romero Inc,2025-07-14,2025-08-13,4109.11,6,Pending,Desk Chair - installation included,0,Normal
748f6c63,1400,"Carter, Quinn and Ward",2025-07-19,2025-08-22,1533.1,10,Unpaid,Software Subscription - customer support included,0,Normal
ad11a1bf,2086,"Johnson, Pitts and Moore",2025-09-30,2025-10-16,3678.23,4,Unpaid,Router - urgent delivery,0,Normal
cf1cbf9a,1317,"Simmons, Ward and Andrews",2025-07-20,2025-08-31,4545.71,1,Paid,Consulting Services - for office use,1,Duplicate invoice ID
443d63b1,1083,"Kennedy, Smith and Hansen",2025-07-14,2025-08-15,4041.05,9,Unpaid,Delivery Service - customer support included,0,Normal
7e974040,1152,"Whitney, Peters and Campbell",2025-09-22,2025-11-02,3762.71,1,Unpaid,Monitor - installation included,0,Normal
c7b594d9,1639,Coffey Ltd,2025-06-15,2025-07-19,3350.48,8,Unpaid,Laptop - customer support included,0,Normal
edf452be,1535,Flynn PLC,2025-10-07,2025-11-14,3944.35,5,Pending,Consulting Services - monthly supply,0,Normal
fccdebc6,1322,Chandler-Lang,2025-08-14,2025-09-10,10406.7,1,Paid,Whiteboard - quarterly maintenance,1,Suspicious invoice amount
a2ff714c,1770,Ayala Group,2025-06-20,2025-06-12,1707.21,2,Paid,Router - customer support included,1,Due date earlier than invoice date
be1165a0,1121,"Powell, Mccormick and Kim",2025-08-19,2025-09-14,2596.38,4,Pending,DeskChair - for office use,1,Suspicious text validation
83d876be,1199,Craig Group,2025-09-13,2025-10-15,2579.45,6,Pending,Consulting Services - installation included,0,Normal
cd58f9ef,1192,Gutierrez-Vazquez,2025-05-19,2025-06-12,3825.1,10,Pending,Router - customer support included,0,Normal
f20a4427,1351,Martinez PLC,2025-08-01,2025-09-03,1257.96,9,Paid,Laptop - installation included,0,Normal
2beaa450,1081,"Rowe, Robinson and Ward",2025-06-01,2025-06-20,2917.95,10,Pending,USB Drive - for office use,0,Normal
716ac25b,1275,"Weaver, Shelton and Tucker",2025-08-10,2025-09-01,3531.53,8,Unpaid,Keyboard - urgent delivery,1,Duplicate invoice ID
ac499b60,1744,Glover-Burnett,2025-07-28,2025-08-24,42008.2,9,Paid,Pen Set - for office use,1,Suspicious invoice amount
73fb7a42,1895,Davis Group,2025-05-26,2025-06-12,4999.79,6,Unpaid,Laptop - installation included,0,Normal
a3f32d11,1159,Mullins-Dorsey,2025-09-11,2025-10-11,2095.69,7,Paid,Software Subscription - urgent delivery,0,Normal
e895b7a6,1807,Reyes PLC,2025-06-20,2025-07-21,4884.87,7,Pending,Printer - monthly supply,0,Normal
022d1cb3,1395,Manning-Richardson,2025-06-13,2025-06-03,3844.84,8,Pending,Keyboard - monthly supply,1,Due date earlier than invoice date
7f58e253,1721,Osborn-Russell,2025-05-13,2025-06-16,887.99,7,Paid,Mouse - monthly supply,0,Normal
3d0b89e7,1668,Frazier-Jackson,2025-10-03,2025-11-07,4682.23,7,Paid,Coffee Machine - customer support included,0,Normal
eae8a71e,2051,Myers-Ruiz,2025-06-09,2025-07-24,4910.47,2,Paid,Notebook- quarterly maintenance,1,Suspicious text validation
cf02b6ab,1244,Bowman-Taylor,2025-08-04,2025-07-27,1929.29,2,Pending,Software Subscription - urgent delivery,1,Due date earlier than invoice date
419f8609,1892,Gray Inc,2025-09-18,2025-10-25,3305.33,7,Paid,Router - installation included,0,Normal
7430efd0,2022,Greene Group,2025-09-14,2025-10-27,2117.47,1,Pending,Installation Service - for office use,0,Normal
0a4ce491,1573,Smith-Lewis,2025-06-04,2025-07-03,409.35,10,Unpaid,Software Subscription - monthly supply,0,Normal
85c1daa4,1025,Nash-Smith,2025-06-13,2025-06-04,1849.74,6,Unpaid,Router - urgent delivery,1,Due date earlier than invoice date
e6740370,1350,Fisher-Walker,2025-05-31,2025-07-02,1264.44,8,Pending,Monitor - quarterly maintenance,1,Duplicate invoice ID
316c9c87,1078,Rogers-Ayers,2025-05-21,2025-07-03,789.94,7,Paid,Office Desk - quarterly maintenance,0,Normal
42ebd672,1634,Grimes PLC,2025-07-17,2025-08-22,4729.37,2,Unpaid,Printer - customer support included,0,Normal
df64e137,1835,"Walker, Knight and Robinson",2025-06-14,2025-07-23,4620.69,7,Pending,Desk Chair - bulk order,0,Normal
e6107d9c,1189,Morgan Inc,2025-06-11,2025-07-02,2487.8,2,Paid,Pen Set - urgent delivery,0,Normal
c6d0395a,1219,Harris-James,2025-07-15,2025-08-11,3491.3,10,Pending,Installation Service - monthly supply,0,Normal
e740045b,1843,Pacheco and Sons,2025-10-05,2025-11-10,1844.41,7,Pending,Maintenance Service - for office use,0,Normal
23aca316,1313,Macdonald-Andrews,2025-08-17,2025-09-24,4440.44,8,Pending,Stationery Set - urgent delivery,0,Normal
91f20493,1148,Sullivan LLC,2025-04-30,2025-06-03,3082.7,7,Paid,Office Desk - customer support included,0,Normal
00a471d0,1096,"Estes, Carter and Gonzales",2025-09-15,2025-10-10,3188.67,1,Pending,Projector - monthly supply,0,Normal
6da781e1,1561,Rasmussen PLC,2025-05-06,2025-06-15,2587.87,2,Paid,Installation Service - installation included,0,Normal
92846a80,1142,Pratt-Aguilar,2025-09-22,2025-11-03,4355.85,4,Paid,Notebook - urgent delivery,0,Normal
45d56dbb,1815,Brown-Campbell,2025-05-28,2025-05-21,445.19,6,Paid,Stationery Set - customer support included,1,Due date earlier than invoice date
ef34f8ef,1250,Owens-Page,2025-08-17,2025-09-15,1529.33,6,Paid,Maintenance Service - quarterly maintenance,1,Duplicate invoice ID
bdb8cd23,1690,Wagner-Jones,2025-08-05,2025-08-20,1470.34,9,Unpaid,Laptop - urgent delivery,0,Normal
5210921f,1138,Joseph-White,2025-05-21,2025-06-06,1447.65,7,Paid,Installation Service - for office use,0,Normal
e16a2d9c,1029,"Jordan, Terrell and White",2025-10-18,2025-11-06,2699.25,6,Pending,Printer - bulk order,0,Normal
0f912884,2034,Hughes-Myers,2025-04-28,2025-06-05,985.0,4,Unpaid,Whiteboard - bulk order,0,Normal
d0419b5d,1231,Hill-Kelly,2025-09-09,2025-09-26,4583.65,3,Pending,Keyboard- bulk order,1,Suspicious text validation
dba11634,1769,Aguilar Ltd,2025-09-07,2025-09-28,4589.71,5,Unpaid,Monitor - bulk order,0,Normal
9de35c4d,1154,"Johnson, Charles and Myers",2025-09-09,2025-10-01,4125.75,7,Pending,Desk Chair - bulk order,0,Normal
1afb1707,1892,"Moore, Bright and Wilson",2025-04-26,2025-06-03,4579.84,5,Unpaid,Mouse - quarterly maintenance,0,Normal
683f084a,1970,Martin-Gilbert,2025-10-04,2025-09-29,4106.8,8,Paid,Software Subscription - customer support included,1,Due date earlier than invoice date
0e47d8b6,1695,"Barnett, Bryant and Campbell",2025-05-01,2025-05-24,4176.92,7,Unpaid,USB Drive - installation included,0,Normal
dcfd19af,1403,"Patton, Howard and Cox",2025-07-27,2025-08-21,4033.46,2,Pending,USB Drive - quarterly maintenance,0,Normal
e536da1e,1709,"Lindsey, Garcia and Stone",2025-05-04,2025-06-08,3857.76,8,Paid,Laptop - installation included,0,Normal
1d5f191c,1186,"Mills, Ball and Lowe",2025-07-22,2025-08-24,1742.46,4,Paid,CleaningService - for office use,1,Suspicious text validation
83b868d4,1238,Bruce-Martin,2025-07-20,2025-08-14,1354.61,2,Pending,PenSet - urgent delivery,1,Suspicious text validation
ee9f7362,1469,Holden-Davis,2025-04-30,2025-06-07,2197.84,8,Pending,Coffee Machine - installation included,0,Normal
08560067,2060,Perry-Allen,2025-08-24,2025-08-21,1724.3,3,Pending,USB Drive - customer support included,1,Due date earlier than invoice date
a645fa61,1052,Carlson Inc,2025-06-09,2025-06-29,2367.87,9,Pending,Whiteboard - monthly supply,0,Normal
656c3506,1102,"Price, Hudson and Glass",2025-09-13,2025-10-06,3052.76,1,Paid,Delivery Service - bulk order,0,Normal
bd8fb4b7,1851,Anderson-Thomas,2025-08-19,2025-09-22,775.17,6,Pending,Pen Set - customer support included,0,Normal
91d181bd,2057,Thompson and Sons,2025-04-28,2025-06-01,4554.55,4,Unpaid,Mouse - urgent delivery,0,Normal
fbf7dc4a,1602,Carr-Martinez,2025-09-13,2025-10-23,2769.12,6,Pending,Printer - monthly supply,0,Normal
cbc7abc0,2084,Hood Inc,2025-06-22,2025-08-05,2351.85,4,Pending,SoftwareSubscription - monthly supply,1,Suspicious text validation
7500c5fa,1535,Rivera LLC,2025-10-09,2025-11-12,16313.099999999999,1,Paid,Laptop - monthly supply,1,Suspicious invoice amount
35411c1c,1371,"Woods, Guerrero and Wyatt",2025-08-28,2025-10-01,253.871,8,Unpaid,Keyboard - bulk order,1,Suspicious invoice amount
05f44d0b,1836,"Peterson, Howe and Mckenzie",2025-06-13,2025-07-14,1855.07,1,Unpaid,Printer - monthly supply,0,Normal
6b7790e0,1868,Bryant-Chambers,2025-10-19,2025-11-18,2573.61,3,Unpaid,Delivery Service - urgent delivery,0,Normal
